1,16
16,2
2,3
3,4
4,5
5,206
206,6
1,140
140,143
143,145
145,146
146,148
148,63
63,149
149,150
150,60
60,61
61,218
1,141
141,142
142,144
144,257
257,53
53,251
251,57
57,58
58,59
53,230
230,252
252,3
3,13
13,12
12,11
1,258
258,259
259,260
260,215
215,261
261,77
77,262
262,216
216,263
263,76
76,217
217,75
75,74
74,73
73,72
72,71
71,70
70,69
69,68
68,78
78,154
154,79
79,155
155,156
156,95
95,96
96,97
97,157
157,98
98,158
158,136
136,159
159,160
160,137
137,135
135,222
222,161
161,131
131,242
242,130
130,241
241,168
168,167
167,166
166,129
129,125
125,246
246,245
245,124
124,225
225,226
176,227
227,177
177,180
180,178
178,179
179,228
228,229
229,121
121,118
118,117
117,181
181,182
182,116
116,247
49,184
184,41
41,248
248,40
40,39
226,176
247,183
183,49
39,38
38,37
37,193
193,36
36,194
194,27
27,26
26,195
195,33
26,196
196,25
25,232
232,24
24,231
231,7
7,6
6,28
28,249
249,29
7,8
8,23
23,207
207,208
208,22
22,21
21,264
20,210
210,209
209,19
264,20
19,253
253,18
18,211
211,212
212,11
11,10
10,4
59,203
203,202
202,31
265,32
32,33
33,34
34,35
265,31
59,205
205,88
88,89
89,90
90,91
91,234
234,109
138,235
235,110
102,106
106,91
48,108
108,109
109,110
110,111
59,204
204,200
200,100
100,199
199,198
198,101
29,30
30,31
31,250
250,197
197,101
101,221
221,139
139,219
139,192
192,191
219,102
191,190
190,105
105,189
189,35
105,104
104,103
102,103
91,138
138,112
112,113
112,92
257,147
147,63
63,64
64,65
65,80
65,66
66,67
67,68
80,266
266,84
84,267
267,85
85,173
173,172
172,92
93,268
268,114
89,92
92,93
93,238
238,133
133,239
239,134
134,162
162,163
163,240
240,135
114,113
113,115
115,236
236,111
111,220
220,122
122,123
123,175
175,174
174,223
223,224
224,124
16,17
17,214
214,15
15,213
213,14
14,12
4,54
54,55
55,56
56,57
10,9
9,8
9,5
58,60
60,151
151,152
152,83
83,153
153,84
218,62
62,87
87,171
171,170
170,92
85,87
85,94
95,94
94,254
254,99
99,255
255,132
132,133
79,82
82,81
81,80
80,83
83,62
62,86
86,88
88,233
233,201
201,100
132,165
165,164
164,134
134,126
126,127
113,169
169,126
127,244
244,243
243,128
128,129
106,237
237,107
107,108
109,188
188,51
51,52
52,256
256,120
120,118
120,119
119,117
119,116
119,118
35,47
47,187
187,44
44,43
43,42
42,41
49,185
185,186
186,52
44,45
45,46
46,50
50,51
47,48
272,136
271,1
269,52
270,209
