466766.71	752116.92	8.1
469511.34	753286.15	9.4
462566.52	748743.88	8.9
470510.61	752325.79	9.8
467011.7	748767.86	8.2
469732.12	753541.86	8.5
467646.2	752773.77	8.1
467833.3	749626.92	8.1
467877.13	749144.99	9.5
469299.32	753028.69	8.7
469900.34	753739.77	9.1
467891.74	748787.19	8.2
466474.49	753416.69	9.2
470530.69	753890.76	8.1
466395.24	748748.82	9.8
469895.54	754187.95	8.7
466618.3	753037.53	9.1
468720.99	753075.92	8.9
470080.33	748880.42	8.7
466518.33	751306.4	9.5
466861.68	752518.54	8.3
470513.87	751242.32	8.2
467636.05	749882.5	9.3
467923.29	752941.63	8.1
469208	752874.49	9.3
466598.73	750637.93	8.7
463567.87	748724.76	8.2
467015.09	750247.6	9.7
465535.54	754671.39	8.3
464938.27	754688.84	8.9
464805.54	754723.73	9.6
464459.75	754831.91	9
464040.61	755104.09	8.8
463701.8	755491.43	8
463466.78	755972.76	8.4
463396.92	756164.68	8.6
463320.08	756656.7	9
463382.95	757162.68	9
463460.1	757399.58	8.6
463645.22	757804.36	9.3
463949.09	758125.4	8.9
464745.46	758582.53	8.4
466420.88	758667.55	9.6
467802.93	758786.66	8.6
468410.68	758727.33	9.1
468690.11	758797.12	8.4
469151.16	758915.77	8.6
469862.24	758779.83	9.7
470271.05	755599.1	9.8
469578.16	755168.09	8.9
468970.41	755122.73	9.3
468470.93	755161.11	9.9
467772.36	755080.85	8.4
466250.73	754933.86	9.7
464295.21	754424.35	9.3
464261.09	754024.6	8.1
464093.6	754477.03	8.4
462263.57	754306.59	9
462362.82	754569.99	9.7
462468.28	754814.79	9.7
462579.95	755065.8	8.6
463544.55	755394.88	8.1
463891.95	754992.03	9.5
463696.54	755193.46	9.5
464199.04	755546.81	9.1
465065.89	755395.2	9
463302.44	755883.97	8.1
462238.54	755781.71	8.6
462344	756023.42	8.7
462449.46	756271.32	8.7
462567.32	756519.23	9.7
463138.04	756646.28	9.3
463159.76	756385.98	8.5
463212.49	756138.07	8.9
463904.42	756588.88	8.1
463829.98	756889.47	8.2
463290.23	757476.58	8.6
462964.55	757420.8	9.3
464587.96	756150.45	8
